YEAR,STATE,ST_CASE,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,A_WRONGWAY,BIA,SPJ_INDIAN,INDIAN_RES,CENSUS_2020_TRACT_FIPS,TRACT
2022,1,10078,1,1,4,1,2,4,2,4,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01021060500,1
2022,1,10079,1,1,4,2,2,4,2,4,2,1,3,2,1,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01089011302,1
2022,1,10080,2,1,4,1,2,1,2,4,2,5,1,1,3,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,2,0,0,0,01043964300,1
2022,1,10081,1,1,4,2,1,1,2,1,2,2,1,1,3,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01081040502,1
2022,1,10082,1,1,4,1,1,1,2,1,2,2,1,1,3,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,1,2,2,0,0,0,01085780800,1
2022,1,10083,1,1,4,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,01069041600,1
2022,1,10084,1,1,4,1,2,4,2,3,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,0,0,0,01055011002,1
2022,1,10085,1,1,4,1,2,1,2,4,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01083020101,1
2022,1,10086,1,1,4,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01083021203,1
2022,1,10087,1,1,4,2,2,1,2,3,3,4,1,1,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01103005404,1
